ISBN,workingLink
9780307458926,true
9780345521231,false
9780440245292,false
9780749954789,false
9780758238702,false
9780758267818,false
9781101528723,false
9781402245695,false
9781426884306,false
9781460398876,false
9780062014078,false
9780062025326,true
9780062049834,true
9780345517531,true
9780345519474,true
9780345524072,true
9780373534494,false
9780373534555,false
9780373775927,false
9780373776085,false
9780373776153,false
9780373803408,false
9780399157875,false
9780425243213,true
9780425244517,true
9780446540155,false
9780451234339,false
9780451234612,true
9780525952251,false
9780727880567,true
9780758231741,false
9780758242037,true
9780758251589,false
9780758255761,false
9780758261588,false
9780758265876,false
9780778312352,false
9780778312444,false
9780778312598,false
9780778312673,false
9781250002679,true
9781402249822,false
9781402253041,true
9781402258435,true
9781402259074,false
9781402259524,false
9781402259821,false
9781402261541,false
9781414348643,false
9781428516427,false
9781439108000,false
9781439183724,false
9781569759912,false
9781593156749,false
9781593156787,false
9781611453386,true
9781905636976,false
9780061990809,true
9780062025807,true
9780062047755,true
9780062068521,true
9780062072900,true
9780062100313,true
9780062106063,false
9780312389093,false
9780312531188,true
9780312534523,false
9780312605889,true
9780345521279,false
9780345526731,true
9780345527448,true
9780345535221,false
9780373534739,false
9780373776436,false
9780373776566,false
9780373776573,false
9780373776580,false
9780373862481,false
9780373862535,false
9780385343329,false
9780399159084,false
9780399159121,false
9780425245651,false
9780425246030,true
9780425246597,true
9780425247563,false
9780446573313,true
9780451235794,false
9780451235848,false
9780451236234,false
9780451413123,true
9780515150469,true
9780553592641,false
9780751545333,true
9780758263544,false
9780758265203,true
9780758266361,false
9780758269041,false
9780764208225,true
9780778313106,false
9780778313380,true
9780778313496,false
9781402258312,false
9781402262128,false
9781402262494,false
9781402263774,false
9781402264405,false
9781402265556,false
9781410453709,false
9781420110210,false
9781420117066,false
9781420117233,true
9781451633276,false
9781455508594,true
9781593093914,true
9781742375878,true
9780062021731,true
9780062068637,true
9780062121790,true
9780062199034,true
9780062202413,true
9780307730329,true
9780312546663,false
9780345506931,false
9780345517692,true
9780345520784,true
9780345528926,false
9780345530394,true
9780345532220,false
9780345535405,false
9780373534838,false
9780373776481,false
9780373776733,false
9780373776764,false
9780373776887,false
9780373776955,false
9780373777198,false
9780373862733,false
9780373862740,false
9780373862795,false
9780373862832,false
9780385344401,false
9780425245644,true
9780525952862,false
9780758266811,false
9780758269096,true
9780758271563,false
9780758281043,false
9780758281203,true
9780762442690,false
9780762446018,false
9780778313519,false
9780778313762,false
9780778314127,false
9780800721213,false
9781250001320,false
9781250008022,false
9781250008954,false
9781250009883,false
9781250020222,false
9781402263491,false
9781402264375,false
9781402264801,false
9781402266928,false
9781402269738,false
9781402270277,false
9781402270369,false
9781402270451,false
9781402272400,false
9781451650051,false
9781451671599,false
9781451672909,false
9781451673869,false
9781451685176,false
9781451698244,false
9781451698985,false
9780061963117,false
9780062069146,false
9780062132710,false
9780062218933,false
9780062223876,false
9780062224842,false
9780062231352,false
9780062240125,false
9780312591465,false
9780316099783,false
9780316225854,false
9780345528810,false
9780345541796,false
9780373777419,false
9780373777457,false
9780373777563,false
9780373777600,false
9780373777617,false
9780373777655,false
9780373777709,false
9780373777921,false
9780399159893,false
9780425267042,false
9780425267806,false
9780451239488,false
9780451419729,false
9780670025275,false
9780758269201,false
9780758285386,false
9780764209666,false
9780764211126,false
9780778314332,false
9780778314363,false
9780778314479,false
9780778315568,false
9781250018373,false
9781250019226,false
9781250035936,false
9781402270390,false
9781402274442,false
9781402274800,false
9781402276316,false
9781402276729,false
9781402277597,false
9781402278518,false
9781439175484,false
9781451673890,false
9781451677751,false
9781451693461,false
9781451695915,false
9781476714264,false
9781476726045,false
9781476730097,false
9781573449342,false
9781602828605,false
9781602828667,false
9781602828728,false
9781620291474,false
9781939392022,false
9780062072924,false
9780062107732,false
9780062231109,false
9780062279873,false
9780062302403,false
9780062305497,false
9780142180372,false
9780307731166,false
9780345528896,false
9780345533715,false
9780373002085,false
9780373091430,false
9780373777389,false
9780373777730,false
9780373777860,false
9780373863235,false
9780373863273,false
9780425251249,false
9780425259856,false
9780425267080,false
9780425268339,false
9780446540230,false
9780451240194,false
9780451419286,false
9780515151381,false
9780525953012,false
9780727883018,false
9780758277251,false
9780758281081,false
9780758284938,false
9780758289636,false
9780758290175,false
9780762449477,false
9780764211683,false
9780764211713,false
9780778315377,false
9780778315544,false
9780989202739,false
9781250015600,false
9781250029881,false
9781250035295,false
9781250041609,false
9781402283758,false
9781402283994,false
9781402284465,false
9781402284854,false
9781420125788,false
9781420132359,false
9781451678710,false
9781462112265,false
9781476700175,false
9781476732442,false
9781476744926,false
9781477805947,false
9781477808580,false
9781573449656,false
9781593095420,false
9781593095444,false
9781611099577,false
9781626361010,false
9780062018977,false
9780062222503,false
9780062268419,false
9780062276223,false
9780062326201,false
9780345542458,false
9780345543790,false
9780345548122,false
9780373778454,false
9780373778706,false
9780373863549,false
9780373863556,false
9780425265451,false
9780425269626,false
9780425272947,false
9780451467300,false
9780451470461,false
9780525954279,false
9780751550238,false
9780758277282,false
9780758284044,false
9780758284945,false
9780758292964,false
9780778316190,false
9780778316251,false
9780778317142,false
9781250032409,false
9781250042071,false
9781250042965,false
9781250052360,false
9781402285998,false
9781402286889,false
9781402287343,false
9781402289651,false
9781402292095,false
9781402293559,false
9781414378428,false
9781420132830,false
9781420134254,false
9781455519514,false
9781455546077,false
9781455598809,false
9781476703640,false
9781476706009,false
9781476706894,false
9781476734248,false
9781476749389,false
9781476762319,false
9781476763965,false
9781476765341,false
9781477817506,false
9781477818374,false
9781612433011,false
9781612433028,false
9781626490710,false
9781626490789,false
9781627780278,false
9781627780292,false
9781627780339,false
9781627780377,false
9780062106070,false
